FR-ID,Test Steps,Evidence,Pass/Fail,Fix Notes,Owner,Date
FR-M-01,"1. Inspect SQLSyncService for SELECT-only queries
2. Check no SQL write operations in dataflows
3. Verify gateway account has read-only permissions",SQLSyncService uses only SELECT queries; no INSERT/UPDATE/DELETE to SQL,Pass,N/A - Core architecture constraint,
FR-M-18,"1. Create count with damaged_qty
2. Verify remark and photo captured","CountLine schema has damaged_qty, non_returnable_damaged_qty, remark, photo_proofs fields",Pass,N/A,
FR-M-19,"1. Take multiple photos
2. Verify option to apply one photo to all lines","PhotoCapture component allows multiple uploads; ApplyToAll feature in photo selection",Pass,N/A,
FR-M-20,"1. Click submit button
2. Verify 5-second countdown before button enabled
3. Verify submit happens after delay","TIMEOUT NOT IMPLEMENTED - QuantityInputForm.tsx missing submit delay timer",Fail,"Add useEffect with 5s countdown timer before enabling submit button",Pending,
FR-M-21,"1. Create count with variance
2. Verify expected_qty, counted_qty, variance_qty, variance_value calculated","VarianceService calculates variance_qty = counted - expected; variance_value using last_cost or sale_price",Pass,N/A,
FR-M-22,"1. Supervisor approves count
2. Supervisor rejects with reason
3. Supervisor requests recount","CountLineStateMachine transitions: submitted -> pending_approval -> approved/rejected; recount triggers state change",Pass,N/A,
FR-M-23,"1. Request recount for user
2. Verify notification created
3. Verify ""Count Now"" option available","NotificationService exists but recount notifications NOT fully implemented - missing dispatcher for recount assignments",Partial,"Add recount notification creation in supervisor_service.py when recount requested; add notification bell UI",Pending,
FR-M-24,"1. Login as supervisor
2. Attempt to recount rejected item
3. Verify edit allowed","Supervisor role has edit permissions on rejected count lines",Pass,N/A,
FR-M-25,"1. Review session count list
2. Complete session via /api/sessions/{id}/complete
3. Verify status changed to completed","Session status transitions: active -> paused -> completed; CompleteSession API exists",Pass,N/A,
FR-M-26,"1. Access admin dashboard
2. Check quantity metrics (counted/stock %)
3. Check value metrics (counted/stock value) with last_cost default
4. Test toggle to sale_price
5. Verify breakdowns by location/category/session/date","Backend /api/v1/analytics/dashboard endpoints exist but FRONTEND DASHBOARD UI is incomplete",Fail,"Create AdminDashboard.tsx with KPICard, BreakdownView, TrendChart components; implement valuation toggle with persistence",Pending,
FR-M-27,"1. Enable airplane mode
2. Create counts offline
3. Go back online
4. Verify counts sync to server","OfflineStorage.ts, syncQueue, MMKV storage implemented; auto-sync on reconnect",Pass,N/A,
FR-M-28,"1. Check activity_logs collection
2. Verify who/when/what for sessions, counts, approvals, recounts","activity_logs collection tracks user_id, action, resource_type, timestamp, metadata for all operations",Pass,N/A,
FR-M-29,"1. Check user roles (admin, supervisor, staff)
2. Verify role-based permissions enforced","users collection has role field; permission checks in API endpoints based on role",Pass,N/A,
FR-M-30,"1. Create threshold for qty >= 1 requiring supervisor
2. Create threshold for value >= 500 requiring supervisor
3. Verify supervisor required on threshold breach","variance_threshold_configs collection; VarianceService checks thresholds and sets require_supervisor flag",Pass,N/A,
FR-M-31,"1. Counter edits submitted count - verify blocked
2. Supervisor reopens rejected count - verify allowed
3. Check audit log for edits","CountLineStateMachine prevents edits after submitted; supervisors can reopen; all changes logged",Pass,N/A,
FR-M-32,"1. Scan unknown barcode
2. Verify unknown item flow captures photo/notes/location
3. Verify no SQL write",Unknown barcode triggers ""Unknown Item"" flow; logs to separate collection for admin review",Pass,N/A,
FR-M-33,"1. Test EAN-13, UPC-A, Code 128, QR codes
2. Verify barcode scanner supports all symbologies","Expo Camera barcodeTypes includes EAN-13, UPC, Code128, QR",Pass,N/A,
FR-M-34,"1. Start session
2. Modify master data in SQL
3. Close session and check for warning","SESSION INTEGRITY NOT IMPLEMENTED - no item_version tracking or warnings",Fail,"Add item_version field to erp_items; snapshot on session start; compare on close; display warning if changed",Pending,
FR-M-35,"1. Leave session inactive for N minutes
2. Verify auto-pause
3. Verify last_used_at updated","AUTO-PAUSE NOT IMPLEMENTED - no inactivity tracking or auto-pause",Fail,"Add useInactivityTimer hook; track user interactions; auto-pause after idle timeout; update last_used_at",Pending,
